link,fecha,caption,likes,comentarios
https://www.instagram.com/conmeboltorneos/p/DXpqL6om7Hz/,2026-04-27 16:54:15,\u00a1Debut con victoria para \u0040latriecu en el Grupo B de la CONMEBOL #Sub17Fem! \ud83c\udfc6\ud83c\uddea\ud83c\udde8,1209,10
https://www.instagram.com/latriecu/p/DXpp0h4jCVJ/,2026-04-27 16:53:54,\u00a1Debut con victoria en la CONMEBOL Sub 17 Femenina 2026!  \u26bd\ufe0f Anah\u00ed Ortiz \u00a1VAMOS POR M\u00c1S! \ud83d\udd1c  \u2022 #VENxECU \u2022 #CONMEBOLSub17Femenina \u2022,725,7
https://www.instagram.com/latriecu/p/DXpkxR5lNxJ/,2026-04-27 16:06:55,\ud83d\udcaa\ud83d\udd25,502,0
https://www.instagram.com/latriecu/p/DXpjeFRjLIr/,2026-04-27 16:04:02,Ya jugamos los segundos 45 minutos .   \u2022 #VENxECU \u2022 #CONMEBOLSub17Femenina \u2022,338,0
https://www.instagram.com/latriecu/p/DXpipqdjMvz/,2026-04-27 15:48:31,Nos vamos al entretiempo en Paraguay.  \u2022 #VENxECU \u2022 #CONMEBOLSub17Femenina \u2022,352,5
https://www.instagram.com/latriecu/p/DXpf_hNlLmd/,2026-04-27 15:25:11,Nuestro primer XI en la CONMEBOL Sub 17 Femenina \ud83e\udd29  \u2022 #VENxECU \u2022 #CONMEBOLSub17Femenina \u2022,855,0
https://www.instagram.com/latriecu/p/DXpcQc-jEXO/,2026-04-27 15:00:24,Ya se juega en el \ud835\udc04\ud835\udc2c\ud835\udc2d\ud835\udc1a\ud835\udc1d\ud835\udc22\ud835\udc28 \ud835\udc00\ud835\udc26\ud835\udc1e\ud835\udc25\ud835\udc22\ud835\udc1a\ud835\udc27\ud835\udc28.  \u25b6\ud83c\uddfb\ud83c\uddea \ud83c\udd9a\ud83c\uddea\ud83c\udde8  \u2022 #VENxECU \u2022 #CONMEBOLSub17Femenino \u2022,473,5
https://www.instagram.com/latriecu/p/DXpav-SFDVC/,2026-04-27 14:39:22,\ud83d\udd25 Ya calentamos para enfrentarnos a \ud83c\uddfb\ud83c\uddea  \u2022 #VENxECU \u2022 #CONMEBOLSub17Femenino \u2022,673,0
https://www.instagram.com/latriecu/p/DXpZRyhlLsx/,2026-04-27 14:26:30,Todo listo en camerinos para nuestro debut en la CONMEBOL Sub 17 Femenina \u2705  \u2022 #VENxECU \u2022 #CONMEBOLSub17Femenino \u2022,486,1
https://www.instagram.com/latriecu/p/DXpWQdflI-k/,2026-04-27 14:00:01,\ud83d\udccb Nuestras XI que alinear\u00e1n esta tarde en el \ud835\udc04\ud835\udc2c\ud835\udc2d\ud835\udc1a\ud835\udc1d\ud835\udc22\ud835\udc28 \ud835\udc00\ud835\udc26\ud835\udc1e\ud835\udc25\ud835\udc22\ud835\udc1a\ud835\udc27\ud835\udc28 para enfrentar a \ud83c\uddfb\ud83c\uddea .  \u2022 #VENxECU \u2022 #CONMEBOLSub17Femenino \u2022,760,6
